source_currency_code,target_currency_code,valuation_date,rate_value
GBP,EUR,2024-07-24,0.940025
CHF,USD,2024-01-28,1.122869
USD,CHF,2024-06-29,1.009045
CHF,USD,2024-03-31,1.195713
USD,CHF,2024-03-20,0.982963
EUR,CHF,2024-09-07,0.969302
GBP,EUR,2024-02-25,0.872982
EUR,USD,2024-03-29,0.899487
USD,CHF,2024-07-16,1.084334
GBP,CHF,2024-07-23,0.931901
GBP,EUR,2024-09-23,1.158947
GBP,CHF,2024-07-31,1.217171
GBP,EUR,2024-07-21,0.869922
GBP,USD,2024-04-28,1.134636
GBP,EUR,2024-03-06,1.120613
CHF,GBP,2023-12-11,1.169292
USD,GBP,2024-07-01,1.117034
CHF,EUR,2024-08-08,0.91204
EUR,USD,2024-02-09,1.143991
GBP,CHF,2024-07-08,1.087688
CHF,USD,2024-02-01,0.893811
CHF,USD,2024-06-29,1.160395
GBP,USD,2024-07-29,1.168458
EUR,USD,2023-11-21,1.193593
USD,CHF,2024-01-03,0.936438
EUR,GBP,2024-06-06,1.176459
EUR,CHF,2024-05-01,1.190413
EUR,CHF,2024-03-18,1.064827
USD,CHF,2024-06-30,1.15654
EUR,CHF,2024-08-24,0.987847
CHF,GBP,2023-10-30,1.210403
USD,EUR,2024-10-13,1.228574
CHF,GBP,2024-01-26,1.033877
CHF,EUR,2023-11-11,1.211659
CHF,GBP,2024-05-08,0.958481
GBP,CHF,2023-10-16,1.237258
EUR,CHF,2024-02-27,0.994247
EUR,GBP,2024-06-29,0.917544
CHF,EUR,2024-02-06,1.230544
CHF,EUR,2024-07-31,0.92808
EUR,CHF,2024-02-21,1.244775
EUR,USD,2023-11-08,0.963039
EUR,GBP,2024-03-29,0.854067
CHF,EUR,2024-01-18,1.07114
CHF,USD,2023-11-23,0.89474
GBP,CHF,2024-05-18,1.226704
USD,CHF,2023-10-30,0.995982
CHF,EUR,2024-08-16,1.194453
EUR,USD,2023-11-21,0.975561
USD,EUR,2024-09-20,0.923405
